,shortName,sector,industry,country,market,2022-07-18 00:00:00,2022-07-19 00:00:00,2022-07-20 00:00:00,2022-07-21 00:00:00,2022-07-22 00:00:00,2022-07-25 00:00:00,2022-07-26 00:00:00,2022-07-27 00:00:00,2022-07-28 00:00:00,2022-07-29 00:00:00,2022-08-01 00:00:00,2022-08-02 00:00:00,2022-08-03 00:00:00,2022-08-04 00:00:00,2022-08-05 00:00:00,2022-08-08 00:00:00,2022-08-09 00:00:00,2022-08-10 00:00:00,2022-08-11 00:00:00,2022-08-12 00:00:00,2022-08-15 00:00:00,2022-08-16 00:00:00,2022-08-17 00:00:00,2022-08-18 00:00:00
0,Farfetch Limited,Consumer Cyclical,Internet Retail,United Kingdom,us_market,6.730000019073486,7.760000228881836,8.350000381469727,8.819999694824219,8.359999656677246,8.079999923706055,7.429999828338623,8.15999984741211,7.960000038146973,7.940000057220459,8.229999542236328,8.40999984741211,9.270000457763672,9.029999732971191,8.9399995803833,9.720000267028809,8.880000114440918,9.710000038146973,9.899999618530273,10.15999984741211,9.930000305175781,9.989999771118164,8.829999923706055,
1,Snap Inc.,Communication Services,Internet Content & Information,United States,us_market,13.920000076293945,14.149999618530273,15.510000228881836,16.350000381469727,9.960000038146973,9.949999809265137,9.630000114440918,9.550000190734863,9.670000076293945,9.880000114440918,9.539999961853027,9.869999885559082,10.319999694824219,10.25,10.180000305175781,10.40999984741211,10.15999984741211,10.569999694824219,11.109999656677246,11.619999885559082,12.239999771118164,12.609999656677246,12.09000015258789,
2,"Arvinas, Inc.",Healthcare,Biotechnology,United States,us_market,47.5,51.91999816894531,54.560001373291016,54.79999923706055,50.31999969482422,49.790000915527344,51.400001525878906,53.029998779296875,52.869998931884766,53.11000061035156,50.380001068115234,51.369998931884766,53.40999984741211,51.40999984741211,55.43000030517578,55.83000183105469,55.79999923706055,57.9900016784668,54.540000915527344,54.459999084472656,54.119998931884766,52.47999954223633,46.70000076293945,
3,COLOPLAST SPON ADS EACH REPR 0.,Healthcare,Medical Instruments & Supplies,Denmark,us_market,11.1899995803833,11.425000190734863,11.204999923706055,11.8100004196167,11.850000381469727,11.600000381469727,11.579999923706055,11.635000228881836,11.59000015258789,11.710000038146973,11.71500015258789,11.630000114440918,11.600000381469727,11.899999618530273,11.34000015258789,11.40999984741211,11.380000114440918,11.729999542236328,11.819999694824219,11.600000381469727,11.585000038146973,11.34000015258789,12.170000076293945,
4,Carvana Co.,Consumer Cyclical,Internet Retail,United States,us_market,22.25,22.850000381469727,27.3799991607666,28.209999084472656,25.3799991607666,25.200000762939453,24.18000030517578,26.360000610351562,27.18000030517578,29.149999618530273,30.170000076293945,34.04999923706055,34.900001525878906,33.540000915527344,46.97999954223633,46.459999084472656,41.43000030517578,47.310001373291016,50.130001068115234,52.099998474121094,51.0,54.59000015258789,49.619998931884766,
5,Pioneer Natural Resources Compa,Energy,Oil & Gas E&P,United States,us_market,211.0,214.47000122070312,216.80999755859375,213.27999877929688,209.8000030517578,221.57000732421875,218.5800018310547,226.5399932861328,228.6699981689453,236.9499969482422,228.10000610351562,227.91000366210938,220.67999267578125,212.86000061035156,217.14999389648438,217.13999938964844,218.19000244140625,217.8000030517578,228.47999572753906,232.9499969482422,229.94000244140625,229.1199951171875,232.5,
6,"Upstart Holdings, Inc.",Financial Services,Credit Services,United States,us_market,26.100000381469727,28.290000915527344,28.68000030517578,28.450000762939453,26.030000686645508,24.600000381469727,22.65999984741211,24.770000457763672,24.3700008392334,24.329999923706055,23.940000534057617,25.440000534057617,29.059999465942383,28.329999923706055,29.600000381469727,32.27000045776367,28.450000762939453,33.5,31.709999084472656,34.7599983215332,33.08000183105469,36.279998779296875,33.0099983215332,
7,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,United States,us_market,93.13999938964844,98.2300033569336,102.2300033569336,103.83999633789062,101.66999816894531,101.0,98.91000366210938,103.45999908447266,105.16000366210938,105.9800033569336,106.4000015258789,104.98999786376953,109.01000213623047,111.05999755859375,109.62000274658203,107.83000183105469,99.66000366210938,105.05000305175781,105.52999877929688,110.37999725341797,109.77999877929688,108.48999786376953,106.0,
8,CARLSBERG AS SPON ADR EACH REP ,Consumer Defensive,Beverages—Brewers,Denmark,us_market,26.239999771118164,26.530000686645508,25.600000381469727,25.739999771118164,25.600000381469727,25.719999313354492,25.610000610351562,25.8799991607666,25.59000015258789,25.920000076293945,26.170000076293945,26.239999771118164,26.149999618530273,25.90999984741211,25.239999771118164,25.56999969482422,25.770000457763672,26.389999389648438,26.639999389648438,26.5,26.40999984741211,26.25,27.309999465942383,
9,GUANGSHEN RAILWAY CO,Industrials,Railroads,China,us_market,0.1754000037908554,0.1754000037908554,0.1754000037908554,0.1754000037908554,0.1754000037908554,0.1754000037908554,0.1754000037908554,0.1754000037908554,0.1754000037908554,0.1754000037908554,0.1754000037908554,0.14710000157356262,0.15610000491142273,0.15610000491142273,0.15610000491142273,0.15610000491142273,0.15610000491142273,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.16099999845027924,
10,Indian Rail Tour Corp Ltd,Industrials,Railroads,India,in_market,602.6510620117188,606.3927001953125,606.7918090820312,606.492431640625,608.3882446289062,597.9615478515625,594.7188110351562,599.60791015625,601.1544189453125,635.6771240234375,640.4664306640625,646.5029296875,640.7158813476562,637.5728759765625,640.9154052734375,657.0293579101562,,671.6466674804688,668.6033935546875,664.9616088867188,,666.6578369140625,670.1500244140625,
